,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
20,EdPiotrowski,Ed Piotrowski,24128009,1066831541249159168,/EdPiotrowski/status/1066831541249159168,2018-11-25 23:10:34,1543187434,The @NASAInSight mission lands Monday on Mars. Temps there are a little chilly!   @MarsWXReport  h/t @rtphokiepic.twitter.com/PNxn0ODPav,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""407387443"" dir=""ltr"" href=""/NASAInSight""><s>@</s><b>NASAInSight</b></a> mission lands Monday on Mars. Temps there are a little chilly!   <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""786939553"" dir=""ltr"" href=""/MarsWxReport""><s>@</s><b><strong>MarsWXReport</strong></b></a>  h/t <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16207462"" dir=""ltr"" href=""/rtphokie""><s>@</s><b>rtphokie</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/PNxn0ODPav"">pic.twitter.com/PNxn0ODPav</a></p>",[],[],True,['https://pbs.twimg.com/media/Ds4loZcW0AA-wtA.jpg'],,7,2,0,False,False,,[]
21,BU_NeonHat,Thomas Petersen,20285104,1066800644013654017,/BU_NeonHat/status/1066800644013654017,2018-11-25 21:07:48,1543180068,DYK Friction band name dibs,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">DYK Friction band name dibs</p>",[],[],False,[],,0,0,0,False,True,1066795650489163780,"[{'screen_name': 'rtphokie', 'user_id': '16207462'}, {'screen_name': 'MarsWxReport', 'user_id': '786939553'}, {'screen_name': 'NASAInSight', 'user_id': '407387443'}]"
22,nhuzzle1,Kelly,2789070667,1066552387601498113,/nhuzzle1/status/1066552387601498113,2018-11-25 04:41:19,1543120879,Is there fresh cold clean water !,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Is there fresh cold clean water !</p>",[],[],False,[],,0,0,0,False,True,1066153701704957953,"[{'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
23,MarsWxReport,Mars Weather,786939553,1066153701704957953,/MarsWxReport/status/1066153701704957953,2018-11-24 02:17:05,1543025825,"Sol 2238 (2018-11-22), high -2C/28F, low -69C/-92F, pressure at 8.53 hPa, daylight 06:27-18:43","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2238 (2018-11-22), high -2C/28F, low -69C/-92F, pressure at 8.53 hPa, daylight 06:27-18:43</p>",[],[],False,[],,15,5,1,True,False,,[]
24,MarsWxReport,Mars Weather,786939553,1066153701008687109,/MarsWxReport/status/1066153701008687109,2018-11-24 02:17:05,1543025825,"Sol 2237 (2018-11-21), high -3C/26F, low -70C/-93F, pressure at 8.54 hPa, daylight 06:27-18:43","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2237 (2018-11-21), high -3C/26F, low -70C/-93F, pressure at 8.54 hPa, daylight 06:27-18:43</p>",[],[],False,[],,10,2,0,False,False,,[]
25,MarsWxReport,Mars Weather,786939553,1066153699771338752,/MarsWxReport/status/1066153699771338752,2018-11-24 02:17:04,1543025824,"Sol 2236 (2018-11-20), high -3C/26F, low -71C/-95F, pressure at 8.57 hPa, daylight 06:26-18:42","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2236 (2018-11-20), high -3C/26F, low -71C/-95F, pressure at 8.57 hPa, daylight 06:26-18:42</p>",[],[],False,[],,7,2,0,False,False,,[]
26,MarsWxReport,Mars Weather,786939553,1066153698877935616,/MarsWxReport/status/1066153698877935616,2018-11-24 02:17:04,1543025824,"Sol 2235 (2018-11-19), high 2C/35F, low -70C/-93F, pressure at 8.53 hPa, daylight 06:25-18:42","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2235 (2018-11-19), high 2C/35F, low -70C/-93F, pressure at 8.53 hPa, daylight 06:25-18:42</p>",[],[],False,[],,8,2,0,False,False,,[]
27,RichLeveille,Richard Leveille 🚀,420811502,1065666634185084929,/RichLeveille/status/1065666634185084929,2018-11-22 18:01:39,1542909699,Great! But can we do something about the temperature - colder than Mars in Montreal today! @MarsWxReport pic.twitter.com/Y9bcfPbutu,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great! But can we do something about the temperature - colder than Mars in Montreal today! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""786939553"" dir=""ltr"" href=""/MarsWxReport""><s>@</s><b><strong>MarsWxReport</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Y9bcfPbutu"">pic.twitter.com/Y9bcfPbutu</a></p>",[],[],True,['https://pbs.twimg.com/media/DsoCJveU4AAk2iB.jpg'],,3,0,0,False,True,1065651769018105856,"[{'screen_name': 'AstroMcGill', 'user_id': '463271769'}]"
28,Blackprojects,Mark redgwell,20880664,1065549203450068992,/Blackprojects/status/1065549203450068992,2018-11-22 10:15:01,1542881701,Welcome to the Surface of Mars! @MarsWxReport,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Welcome to the Surface of Mars! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""786939553"" dir=""ltr"" href=""/MarsWxReport""><s>@</s><b><strong>MarsWxReport</strong></b></a></p>",[],[],False,[],,0,0,0,False,True,1065546626239012864,"[{'screen_name': 'MWObs', 'user_id': '205076166'}]"
29,MarsWxReport,Mars Weather,786939553,1065066536321331200,/MarsWxReport/status/1065066536321331200,2018-11-21 02:17:04,1542766624,"Sol 2234 (2018-11-18), high 2C/35F, low -70C/-93F, pressure at 8.57 hPa, daylight 06:25-18:41","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2234 (2018-11-18), high 2C/35F, low -70C/-93F, pressure at 8.57 hPa, daylight 06:25-18:41</p>",[],[],False,[],,18,8,0,False,False,,[]
30,MarsWxReport,Mars Weather,786939553,1064704150397743104,/MarsWxReport/status/1064704150397743104,2018-11-20 02:17:05,1542680225,"Sol 2233 (2018-11-17), high -4C/24F, low -72C/-97F, pressure at 8.61 hPa, daylight 06:24-18:41","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2233 (2018-11-17), high -4C/24F, low -72C/-97F, pressure at 8.61 hPa, daylight 06:24-18:41</p>",[],[],False,[],,9,6,0,False,False,,[]
31,MarsWxReport,Mars Weather,786939553,1064704149672071170,/MarsWxReport/status/1064704149672071170,2018-11-20 02:17:05,1542680225,"Sol 2232 (2018-11-16), high -3C/26F, low -73C/-99F, pressure at 8.58 hPa, daylight 06:24-18:40","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2232 (2018-11-16), high -3C/26F, low -73C/-99F, pressure at 8.58 hPa, daylight 06:24-18:40</p>",[],[],False,[],,5,2,0,False,False,,[]
32,MarsWxReport,Mars Weather,786939553,1064704148824821760,/MarsWxReport/status/1064704148824821760,2018-11-20 02:17:04,1542680224,"Sol 2231 (2018-11-15), high -10C/14F, low -73C/-99F, pressure at 8.60 hPa, daylight 06:23-18:40","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2231 (2018-11-15), high -10C/14F, low -73C/-99F, pressure at 8.60 hPa, daylight 06:23-18:40</p>",[],[],False,[],,5,2,0,False,False,,[]
33,JayBirdOne,Jay Love,323430890,1064684287356596225,/JayBirdOne/status/1064684287356596225,2018-11-20 00:58:09,1542675489,"Nonsense, more to life than studying rocks.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Nonsense, more to life than studying rocks.</p>",[],[],False,[],,0,0,0,False,True,1064683029975715840,"[{'screen_name': 'rtphokie', 'user_id': '16207462'}, {'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
34,thomasschenck,Tom Schenck,369749700,1064517944867205120,/thomasschenck/status/1064517944867205120,2018-11-19 13:57:10,1542635830,"Colder in #Timmins than it is on Mars today! Hey @elonmusk, care to take me for a summer vacay on the Red Planet?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Colder in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Timmins?src=hash""><s>#</s><b>Timmins</b></a> than it is on Mars today! Hey <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""44196397"" dir=""ltr"" href=""/elonmusk""><s>@</s><b>elonmusk</b></a>, care to take me for a summer vacay on the Red Planet?</p>",[],['Timmins'],False,[],,3,0,0,False,True,1063616986251436032,"[{'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
35,MarsWxReport,Mars Weather,786939553,1063616986251436032,/MarsWxReport/status/1063616986251436032,2018-11-17 02:17:05,1542421025,"Sol 2230 (2018-11-14), high -5C/23F, low -72C/-97F, pressure at 8.59 hPa, daylight 06:22-18:39","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2230 (2018-11-14), high -5C/23F, low -72C/-97F, pressure at 8.59 hPa, daylight 06:22-18:39</p>",[],[],False,[],,11,5,1,True,False,,[]
36,srevans29,stephen evans,632001483,1062895601724149760,/srevans29/status/1062895601724149760,2018-11-15 02:30:33,1542249033,The high was -2. Not so bad.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The high was -2. Not so bad.</p>",[],[],False,[],,0,0,0,False,True,1062892209844994051,"[{'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
37,MarsWxReport,Mars Weather,786939553,1062892209844994051,/MarsWxReport/status/1062892209844994051,2018-11-15 02:17:05,1542248225,"Sol 2229 (2018-11-13), high -2C/28F, low -71C/-95F, pressure at 8.62 hPa, daylight 06:22-18:39","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2229 (2018-11-13), high -2C/28F, low -71C/-95F, pressure at 8.62 hPa, daylight 06:22-18:39</p>",[],[],False,[],,8,4,1,True,False,,[]
38,MarsWxReport,Mars Weather,786939553,1062892208624414720,/MarsWxReport/status/1062892208624414720,2018-11-15 02:17:04,1542248224,"Sol 2228 (2018-11-12), high -31C/-23F, low -71C/-95F, pressure at 8.84 hPa, daylight 06:21-18:38","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2228 (2018-11-12), high -31C/-23F, low -71C/-95F, pressure at 8.84 hPa, daylight 06:21-18:38</p>",[],[],False,[],,7,2,0,False,False,,[]
39,MarsWxReport,Mars Weather,786939553,1062167435132985345,/MarsWxReport/status/1062167435132985345,2018-11-13 02:17:05,1542075425,"Sol 2227 (2018-11-11), high -3C/26F, low -72C/-97F, pressure at 8.63 hPa, daylight 06:21-18:38","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 2227 (2018-11-11), high -3C/26F, low -72C/-97F, pressure at 8.63 hPa, daylight 06:21-18:38</p>",[],[],False,[],,15,6,0,False,False,,[]
40,The_SolarSystem,✨The Solar System✨,742747086,413692053605081088,/The_SolarSystem/status/413692053605081088,2013-12-19 15:27:26,1387466846,The Solar System Daily is out! http://paper.li/The_SolarSystem/1348935846 … Stories via @MarsWxReport,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Solar System Daily is out! <a class=""twitter-timeline-link"" data-expanded-url=""http://paper.li/The_SolarSystem/1348935846"" dir=""ltr"" href=""http://t.co/KC7moQfXTO"" rel=""nofollow noopener"" target=""_blank"" title=""http://paper.li/The_SolarSystem/1348935846""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">paper.li/The_SolarSyste</span><span class=""invisible"">m/1348935846</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> Stories via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""786939553"" dir=""ltr"" href=""/MarsWxReport""><s>@</s><b><strong>MarsWxReport</strong></b></a></p>",['http://paper.li/The_SolarSystem/1348935846'],[],False,[],,0,1,0,False,False,,[]
41,sheenzj_,SJ,325957681,410986179375271936,/sheenzj_/status/410986179375271936,2013-12-12 04:15:15,1386821715,"#YEG STAND UP MT @MarsWxReport Edmonton, AB, Canada was warmer on 2013-12-05 than Gale Crater, Mars but not much pic.twitter.com/3UqsodpYHC","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/YEG?src=hash""><s>#</s><b>YEG</b></a> STAND UP MT <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""786939553"" dir=""ltr"" href=""/MarsWxReport""><s>@</s><b><strong>MarsWxReport</strong></b></a> Edmonton, AB, Canada was warmer on 2013-12-05 than Gale Crater, Mars but not much <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/3UqsodpYHC"">pic.twitter.com/3UqsodpYHC</a></p>",[],['YEG'],True,['https://pbs.twimg.com/media/Ba-S7dqIUAA4KTo.png'],,0,0,0,False,True,409707641565622273,"[{'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
42,drturi,Dr.Turi,37713818,410885519896100864,/drturi/status/410885519896100864,2013-12-11 21:35:16,1386797716,"@MarsWxReport CNN – 200,000 More Morons apply to live on Mars http://www.drturi.com/200000-morons-apply-live-mars/ …  Re-post Rtweet Pass it on Pls","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""786939553"" dir=""ltr"" href=""/MarsWxReport""><s>@</s><b><strong>MarsWxReport</strong></b></a> CNN – 200,000 More Morons apply to live on Mars <a class=""twitter-timeline-link"" data-expanded-url=""http://www.drturi.com/200000-morons-apply-live-mars/"" dir=""ltr"" href=""http://t.co/62NevdqhmJ"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.drturi.com/200000-morons-apply-live-mars/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">drturi.com/200000-morons-</span><span class=""invisible"">apply-live-mars/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>  Re-post Rtweet Pass it on Pls</p>",['http://www.drturi.com/200000-morons-apply-live-mars/'],[],False,[],,0,0,0,False,False,,[]
43,MarsWxReport,Mars Weather,786939553,410579702076555265,/MarsWxReport/status/410579702076555265,2013-12-11 01:20:03,1386724803,"Sol 477 (2013-12-09): high -26C/-14F, low -85C/-121F, pressure 9.07 hPa, 705 mins of daylight, 06:05-17:50","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 477 (2013-12-09): high -26C/-14F, low -85C/-121F, pressure 9.07 hPa, 705 mins of daylight, 06:05-17:50</p>",[],[],False,[],,0,2,0,False,False,,[]
44,SpacerockDodger,Paul W,1107734402,410334779364478976,/SpacerockDodger/status/410334779364478976,2013-12-10 09:06:49,1386666409,@MarsWxReport @csa_asc This is why visitors say that the winter climate in Edmonton Alberta is just out of this world! :),"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""786939553"" dir=""ltr"" href=""/MarsWxReport""><s>@</s><b><strong>MarsWxReport</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""93714983"" dir=""ltr"" href=""/csa_asc""><s>@</s><b>csa_asc</b></a> This is why visitors say that the winter climate in Edmonton Alberta is just out of this world! :)</p>",[],[],False,[],,2,0,0,False,True,409707641565622273,"[{'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
45,SystemsReady,Nibelung_Valesti(SystemsReady);,191938257,410253445946281985,/SystemsReady/status/410253445946281985,2013-12-10 03:43:38,1386647018,@MarsWxReport @csa_asc It's official: North Dakota is as cold as Mars,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""786939553"" dir=""ltr"" href=""/MarsWxReport""><s>@</s><b><strong>MarsWxReport</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""93714983"" dir=""ltr"" href=""/csa_asc""><s>@</s><b>csa_asc</b></a> It's official: North Dakota is as cold as Mars</p>",[],[],False,[],,1,0,0,False,True,409707641565622273,"[{'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
